Index,Passenger position,Passenger destination,Passenger arrival time,Lift arrival time,Order completion time,direction
1,0,4,0.0,0,0,1
2,1,2,0.0,0,0,1
3,2,5,0.0,0,0,1
4,3,1,0.0,0,0,-1
5,4,2,0.0,0,0,-1
6,5,2,0.0,0,0,-1
7,3,1,32.700000000000195,0,0,-1
8,4,0,51.20000000000046,0,0,-1
9,5,4,60.70000000000059,0,0,-1
10,5,3,103.2999999999984,0,0,-1
11,2,3,220.29999999999177,0,0,1
12,3,0,226.9999999999914,0,0,-1
13,5,3,230.3999999999912,0,0,-1
14,5,4,235.29999999999092,0,0,-1
15,2,1,243.49999999999045,0,0,-1
16,2,1,293.89999999999833,0,0,-1
17,4,1,362.60000000001395,0,0,-1
18,0,3,372.80000000001627,0,0,1
19,3,4,382.5000000000185,0,0,1
20,5,2,390.1000000000202,0,0,-1
21,2,0,418.50000000002666,0,0,-1
22,5,3,423.70000000002784,0,0,-1
23,2,1,440.90000000003175,0,0,-1
24,0,3,441.2000000000318,0,0,1
25,3,1,445.1000000000327,0,0,-1
26,5,0,460.4000000000362,0,0,-1
27,0,5,475.60000000003964,0,0,1
28,3,0,477.5000000000401,0,0,-1
29,1,2,478.20000000004023,0,0,1
30,3,4,483.7000000000415,0,0,1
31,3,5,515.5000000000487,0,0,1
32,4,5,519.1000000000495,0,0,1
33,2,3,521.7000000000501,0,0,1
34,0,3,525.700000000051,0,0,1
35,2,3,543.300000000055,0,0,1
36,4,1,546.7000000000558,0,0,-1
37,0,5,550.9000000000567,0,0,1
38,1,3,553.6000000000573,0,0,1
39,1,5,586.3000000000648,0,0,1
40,5,2,606.8000000000694,0,0,-1
41,4,3,611.3000000000704,0,0,-1
42,5,1,617.4000000000718,0,0,-1
43,0,5,622.0000000000729,0,0,1
44,3,1,624.0000000000733,0,0,-1
45,3,4,697.9000000000901,0,0,1
46,2,3,700.6000000000907,0,0,1
47,0,2,718.4000000000948,0,0,1
48,4,3,722.6000000000957,0,0,-1
49,3,1,725.1000000000963,0,0,-1
50,4,0,740.4000000000998,0,0,-1
51,3,0,745.600000000101,0,0,-1
52,2,5,749.5000000001019,0,0,1
53,0,5,762.6000000001048,0,0,1
54,1,0,766.5000000001057,0,0,-1
55,1,0,786.7000000001103,0,0,-1
56,3,2,812.7000000001162,0,0,-1
57,2,5,834.9000000001213,0,0,1
58,5,2,870.8000000001294,0,0,-1
59,5,0,874.2000000001302,0,0,-1
60,3,4,947.3000000001468,0,0,1
61,1,2,950.6000000001476,0,0,1
62,2,4,956.1000000001488,0,0,1
63,1,5,960.8000000001499,0,0,1
64,4,3,970.9000000001522,0,0,-1
65,0,5,971.5000000001523,0,0,1
66,5,4,1003.9000000001597,0,0,-1
67,3,0,1019.6000000001633,0,0,-1
68,1,0,1033.7000000001553,0,0,-1
69,5,3,1036.7000000001526,0,0,-1
70,5,2,1069.9000000001224,0,0,-1
71,5,4,1122.100000000075,0,0,-1
72,4,3,1178.5000000000236,0,0,-1
73,1,5,1190.7000000000126,0,0,1
74,1,0,1192.500000000011,0,0,-1
75,1,0,1206.3999999999983,0,0,-1
76,4,1,1250.0999999999585,0,0,-1
77,0,5,1252.0999999999567,0,0,1
78,3,4,1260.7999999999488,0,0,1
79,0,5,1273.4999999999372,0,0,1
80,2,1,1323.299999999892,0,0,-1
81,0,1,1373.2999999998465,0,0,1
82,0,1,1375.1999999998447,0,0,1
83,3,5,1392.1999999998293,0,0,1
84,1,0,1399.2999999998228,0,0,-1
85,2,5,1415.8999999998077,0,0,1
86,0,2,1418.4999999998054,0,0,1
87,5,0,1437.1999999997884,0,0,-1
88,0,5,1445.5999999997807,0,0,1
89,4,2,1450.799999999776,0,0,-1
90,5,3,1459.0999999997684,0,0,-1
91,5,3,1494.0999999997366,0,0,-1
92,2,0,1504.2999999997273,0,0,-1
93,5,1,1531.7999999997023,0,0,-1
94,2,3,1540.3999999996945,0,0,1
