Index,Passenger position,Passenger destination,Passenger arrival time,Lift arrival time,Order completion time,direction
1,0,2,0.0,0,0,1
2,1,4,0.0,2,0,1
3,2,0,0.0,4,0,-1
4,3,1,0.0,13,0,-1
5,4,0,0.0,11,0,-1
6,5,1,0.0,20,0,-1
7,0,2,29.50000000000015,29,0,1
8,2,3,30.800000000000168,34,0,1
9,5,3,49.60000000000044,54,0,-1
10,1,2,54.2000000000005,54,0,1
11,3,4,66.90000000000047,68,0,1
12,3,2,74.80000000000003,76,0,-1
13,3,0,149.09999999999582,153,0,-1
14,4,3,171.19999999999456,176,0,-1
15,5,2,258.39999999999026,264,0,-1
16,0,1,259.3999999999905,260,0,1
17,4,1,286.9999999999968,290,0,-1
18,0,2,374.5000000000167,377,0,1
19,0,2,396.7000000000217,399,0,1
20,5,3,399.7000000000224,404,0,-1
21,1,0,417.7000000000265,420,0,-1
22,5,3,455.7000000000351,460,0,-1
23,0,5,512.700000000048,513,0,1
24,0,5,575.4000000000623,581,0,1
25,0,1,693.100000000089,702,0,1
26,3,4,695.1000000000895,698,0,1
27,0,2,739.7000000000996,743,0,1
28,0,5,762.6000000001048,767,0,1
29,3,2,772.8000000001072,773,0,-1
30,5,4,785.9000000001101,786,0,-1
31,0,4,822.7000000001185,826,0,1
32,0,2,867.5000000001287,876,0,1
33,0,1,931.9000000001432,936,0,1
34,1,0,938.4000000001448,945,0,-1
35,3,5,948.8000000001472,952,0,1
36,4,1,1030.800000000158,1034,0,-1
37,5,4,1111.3000000000848,1119,0,-1
38,4,2,1117.4000000000792,1121,0,-1
39,3,1,1132.1000000000658,1133,0,-1
40,3,4,1142.3000000000566,1146,0,1
41,0,2,1167.8000000000334,1169,0,1
42,3,2,1197.2000000000066,1200,0,-1
43,2,3,1202.200000000002,1203,0,1
44,1,0,1219.899999999986,1223,0,-1
45,4,5,1267.2999999999429,1270,0,1
46,0,2,1275.0999999999358,1276,0,1
47,0,4,1350.8999999998668,1354,0,1
48,5,4,1391.29999999983,1393,0,-1
49,4,2,1417.2999999998065,1417,0,-1
50,2,1,1422.6999999998015,1422,0,-1
51,0,4,1439.699999999786,1443,0,1
52,3,4,1544.3999999996909,1547,0,1
53,0,4,1562.0999999996748,1570,0,1
54,5,2,1573.799999999664,1574,0,-1
55,3,0,1599.5999999996409,1602,0,-1
56,0,4,1640.0999999996038,1642,0,1
57,3,4,1706.1999999995437,1710,0,1
58,3,5,1725.2999999995263,1727,0,1
59,3,2,1783.1999999994737,1785,0,-1
60,0,1,1797.499999999461,1801,0,1
61,2,3,1904.199999999364,1908,0,1
62,4,2,1933.2999999993367,1937,0,-1
63,0,4,2000.699999999276,2006,0,1
64,1,5,2110.1999999991763,2115,0,1
65,3,2,2121.0999999991664,2123,0,-1
66,0,2,2131.599999999157,2136,0,1
67,1,5,2139.29999999915,2139,0,1
68,5,1,2197.9999999990964,2197,0,-1
69,4,5,2215.99999999908,2217,0,1
70,0,1,2238.6999999990594,2240,0,1
71,4,0,2274.6999999990267,2278,0,-1
72,0,2,2316.3999999989887,2317,0,1
73,2,0,2324.699999998981,2325,0,-1
74,0,3,2345.599999998962,2345,0,1
75,0,1,2364.299999998945,2366,0,1
76,4,0,2370.69999999894,2374,0,-1
77,0,3,2449.599999998868,2449,0,1
78,4,0,2469.5999999988494,2473,0,-1
79,0,2,2480.999999998839,2481,0,1
80,0,1,2506.199999998816,2507,0,1
81,1,5,2556.2999999987705,2558,0,1
82,2,4,2582.199999998747,2582,0,1
83,5,4,2618.299999998714,2620,0,-1
84,0,5,2630.599999998703,2638,0,1
85,2,4,2635.4999999986985,2638,0,1
86,0,5,2643.2999999986914,2650,0,1
87,4,2,2649.6999999986856,2652,0,-1
88,5,1,2684.199999998654,2686,0,-1
89,3,2,2704.299999998636,2706,0,-1
90,0,5,2712.4999999986285,2714,0,1
91,3,1,2721.59999999862,2722,0,-1
92,3,0,2722.19999999862,2730,0,-1
93,0,2,2765.4999999985803,2767,0,1
94,0,4,2848.9999999985043,2852,0,1
95,5,3,2868.099999998487,2872,0,-1
96,2,1,2873.499999998482,2875,0,-1
97,5,3,2888.099999998469,2893,0,-1
98,5,3,2992.9999999983734,2998,0,-1
99,4,0,2999.699999998368,3001,0,-1
100,5,3,3019.799999998349,3028,0,-1
101,0,5,3028.8999999983407,3028,0,1
102,3,5,3068.6999999983045,3068,0,1
103,0,3,3114.399999998263,3125,0,1
104,0,4,3166.799999998216,3171,0,1
105,1,4,3168.799999998213,3173,0,1
106,0,2,3181.399999998202,3191,0,1
107,0,1,3219.499999998168,3224,0,1
108,3,4,3265.999999998125,3268,0,1
109,2,1,3391.499999998011,3393,0,-1
110,3,5,3395.599999998007,3398,0,1
111,3,5,3395.899999998007,3401,0,1
112,0,5,3441.799999997965,3452,0,1
113,3,5,3457.79999999795,3459,0,1
114,0,3,3473.699999997936,3486,0,1
115,3,5,3513.9999999978995,3514,0,1
116,5,2,3578.499999997841,3579,0,-1
117,5,2,3590.39999999783,3592,0,-1
118,2,4,3590.8999999978296,3592,0,1
