Index,Passenger position,Passenger destination,Passenger arrival time,Lift arrival time,Order completion time,direction
1,0,1,0.0,0.0,0,1
2,1,2,0.0,5.698469749099163,0,1
3,2,4,0.0,13.28883396918805,0,1
4,3,5,0.0,19.97737372069228,0,1
5,4,5,0.0,26.28588053836487,0,1
6,5,2,0.0,32.46631194908964,0,-1
7,2,5,35.40000000000023,55.787597862789184,0,1
8,3,1,96.2999999999988,101.79916597712304,0,-1
9,0,4,97.49999999999874,124.06835924931784,0,1
10,0,5,100.99999999999854,124.06835924931784,0,1
11,1,3,107.69999999999816,130.53386877334574,0,1
12,4,2,108.6999999999981,152.43892940179902,0,-1
13,0,3,147.29999999999592,189.6780238148205,0,1
14,1,0,180.09999999999405,182.74375197501428,0,-1
15,4,1,295.29999999999865,306.9870330741779,0,-1
16,2,4,296.3999999999989,300.5619464119394,0,1
17,1,2,348.6000000000108,351.7493758699616,0,1
18,3,0,396.6000000000217,407.0521633581414,0,-1
19,0,2,414.50000000002575,430.146195046696,0,1
20,4,0,429.8000000000292,452.91553399007023,0,-1
21,4,2,507.3000000000469,522.8601599722751,0,-1
22,2,3,544.3000000000552,547.9344490561778,0,1
23,1,0,584.7000000000644,590.1259781519739,0,-1
24,2,0,590.2000000000656,595.8765062119353,0,-1
25,0,5,622.0000000000729,622.5428487492737,0,1
26,1,0,639.2000000000768,646.9364309622915,0,-1
27,3,4,688.8000000000881,705.0293417177445,0,1
28,1,3,716.5000000000944,0.0,0,1
29,5,1,728.6000000000971,0.0,0,-1
30,2,5,776.2000000001079,0.0,0,1
31,4,2,776.600000000108,0.0,0,-1
32,0,3,803.6000000001142,0.0,0,1
33,3,2,824.1000000001188,0.0,0,-1
34,5,4,844.3000000001234,0.0,0,-1
35,4,3,867.4000000001287,0.0,0,-1
36,1,4,874.7000000001303,0.0,0,1
37,0,2,938.4000000001448,0.0,0,1
38,2,4,941.6000000001457,0.0,0,1
39,5,3,948.9000000001472,0.0,0,-1
40,0,3,966.2000000001512,0.0,0,1
41,3,5,996.900000000158,0.0,0,1
42,3,2,1033.7000000001551,0.0,0,-1
43,5,4,1052.4000000001383,0.0,0,-1
44,1,3,1080.4000000001129,0.0,0,1
45,1,2,1094.8000000000998,0.0,0,1
46,5,1,1168.7000000000326,0.0,0,-1
47,1,3,1188.5000000000146,0.0,0,1
48,0,4,1231.3999999999755,0.0,0,1
