Index,Passenger position,Passenger destination,Passenger arrival time,Lift arrival time,Order completion time,direction
1,0,3,0.0,0,0,1
2,1,2,0.0,0,0,1
3,2,0,0.0,0,0,-1
4,3,1,0.0,0,0,-1
5,4,2,0.0,0,0,-1
6,5,1,0.0,0,0,-1
7,0,1,25.30000000000009,0,0,1
8,0,5,209.2999999999924,0,0,1
9,3,0,369.4000000000155,0,0,-1
10,0,4,935.000000000144,0,0,1
11,0,1,983.9000000001552,0,0,1
12,0,5,1009.800000000161,0,0,1
13,2,0,1260.8999999999487,0,0,-1
14,0,1,1352.2999999998656,0,0,1
15,0,2,1609.8999999996313,0,0,1
16,0,1,1927.6999999993423,0,0,1
17,0,2,2523.1999999988006,0,0,1
18,0,1,2573.299999998755,0,0,1
19,0,4,2668.3999999986686,0,0,1
20,0,3,2887.3999999984694,0,0,1
21,0,5,3092.6999999982827,0,0,1
22,0,1,3380.599999998021,0,0,1
