Index,Passenger position,Passenger destination,Passenger arrival time,Lift arrival time,Order completion time,Direction
1.0,0.0,3.0,0.0,0.0,12.0,1.0
7.0,0.0,1.0,25.30000000000009,40.0,44.0,1.0
8.0,0.0,5.0,209.2999999999924,220.0,240.0,1.0
10.0,0.0,4.0,935.000000000144,940.0,956.0,1.0
11.0,0.0,1.0,983.9000000001552,1000.0,1004.0,1.0
12.0,0.0,5.0,1009.800000000161,1020.0,1040.0,1.0
14.0,0.0,1.0,1352.2999999998656,1360.0,1364.0,1.0
15.0,0.0,2.0,1609.8999999996313,1620.0,1628.0,1.0
16.0,0.0,1.0,1927.6999999993425,1940.0,1944.0,1.0
17.0,0.0,2.0,2523.1999999988006,2540.0,2548.0,1.0
18.0,0.0,1.0,2573.299999998755,2580.0,2584.0,1.0
19.0,0.0,4.0,2668.3999999986686,2680.0,2696.0,1.0
20.0,0.0,3.0,2887.3999999984694,2900.0,2912.0,1.0
21.0,0.0,5.0,3092.6999999982827,3100.0,3120.0,1.0
22.0,0.0,1.0,3380.599999998021,3380.0,3384.0,1.0
2.0,1.0,2.0,0.0,4.0,8.0,1.0
3.0,2.0,0.0,0.0,12.0,20.0,-1.0
13.0,2.0,0.0,1260.8999999999487,1272.0,1280.0,-1.0
4.0,3.0,1.0,0.0,8.0,16.0,-1.0
9.0,3.0,0.0,369.4000000000155,388.0,400.0,-1.0
5.0,4.0,2.0,0.0,4.0,12.0,-1.0
6.0,5.0,1.0,0.0,0.0,16.0,-1.0
