Index,Passenger position,Passenger destination,Passenger arrival time,Lift arrival time,Order completion time,direction
1,0,3,0.0,0,0,1
2,1,2,0.0,0,0,1
3,2,3,0.0,0,0,1
4,3,2,0.0,0,0,-1
5,4,0,0.0,0,0,-1
6,5,2,0.0,0,0,-1
7,0,3,7.19999999999999,0,0,1
8,5,1,30.20000000000016,0,0,-1
9,0,5,51.30000000000046,0,0,1
10,0,3,64.10000000000063,0,0,1
11,0,2,72.70000000000014,0,0,1
12,2,1,115.6999999999977,0,0,-1
13,0,1,118.69999999999753,0,0,1
14,0,2,152.29999999999563,0,0,1
15,0,1,158.49999999999528,0,0,1
16,0,4,159.6999999999952,0,0,1
17,0,2,176.59999999999425,0,0,1
18,0,5,176.69999999999425,0,0,1
19,0,3,198.09999999999303,0,0,1
20,1,0,199.19999999999297,0,0,-1
21,0,1,199.89999999999293,0,0,1
22,0,2,201.59999999999283,0,0,1
23,0,3,217.7999999999919,0,0,1
24,0,4,255.79999999998975,0,0,1
25,0,4,279.39999999999503,0,0,1
26,0,2,292.29999999999797,0,0,1
27,0,4,304.50000000000074,0,0,1
28,0,4,305.40000000000094,0,0,1
29,0,2,307.60000000000144,0,0,1
30,0,1,328.6000000000062,0,0,1
31,0,5,333.20000000000726,0,0,1
32,0,5,336.400000000008,0,0,1
33,0,5,351.5000000000114,0,0,1
34,5,1,356.90000000001265,0,0,-1
35,0,3,359.90000000001334,0,0,1
36,1,0,363.3000000000141,0,0,-1
37,0,4,368.2000000000152,0,0,1
38,0,2,379.70000000001784,0,0,1
39,0,5,382.5000000000185,0,0,1
40,5,2,383.5000000000187,0,0,-1
41,0,1,412.4000000000253,0,0,1
42,0,5,416.6000000000262,0,0,1
43,0,4,428.50000000002893,0,0,1
44,0,5,459.500000000036,0,0,1
45,0,2,476.10000000003976,0,0,1
46,0,2,499.40000000004505,0,0,1
47,0,3,512.3000000000479,0,0,1
48,0,4,525.5000000000509,0,0,1
49,4,1,532.2000000000525,0,0,-1
50,0,3,535.4000000000532,0,0,1
51,3,0,554.9000000000576,0,0,-1
52,0,3,570.5000000000612,0,0,1
53,0,3,634.9000000000758,0,0,1
54,0,2,640.9000000000772,0,0,1
55,0,1,652.3000000000798,0,0,1
56,0,5,670.1000000000838,0,0,1
57,4,5,681.8000000000865,0,0,1
58,0,4,725.8000000000965,0,0,1
59,0,4,738.3000000000993,0,0,1
60,0,4,744.2000000001007,0,0,1
61,0,3,760.7000000001044,0,0,1
62,0,4,772.9000000001072,0,0,1
63,5,1,779.5000000001087,0,0,-1
64,0,5,826.0000000001193,0,0,1
65,1,2,841.4000000001228,0,0,1
66,0,1,864.400000000128,0,0,1
67,2,4,874.7000000001303,0,0,1
68,0,2,893.6000000001346,0,0,1
69,0,5,905.7000000001374,0,0,1
70,0,5,973.2000000001527,0,0,1
71,5,2,985.0000000001554,0,0,-1
72,0,3,985.3000000001555,0,0,1
73,0,1,1059.8000000001316,0,0,1
74,0,2,1068.9000000001233,0,0,1
75,0,3,1129.6000000000681,0,0,1
76,0,2,1167.3000000000338,0,0,1
77,0,4,1169.400000000032,0,0,1
78,0,3,1216.2999999999893,0,0,1
79,0,4,1245.6999999999625,0,0,1
80,0,2,1263.0999999999467,0,0,1
81,0,5,1272.8999999999378,0,0,1
